date,value
2021-01-27,1103.0
2021-01-28,1104.0
2021-01-29,1114.6
2021-02-01,1117.2
2021-02-02,1118.0
2021-02-03,1116.6
2021-02-04,1114.0
2021-02-05,1116.7
2021-02-08,1124.0
2021-02-09,1119.1
2021-02-10,1116.0
2021-02-15,1110.1
2021-02-16,1103.1
2021-02-17,1099.7
2021-02-18,1107.7
2021-02-19,1105.7
2021-02-22,1107.1
2021-02-23,1106.5
2021-02-24,1110.8
2021-02-25,1110.2
2021-02-26,1108.4
2021-03-02,1121.8
2021-03-03,1121.3
2021-03-04,1122.9
2021-03-05,1126.2
2021-03-08,1129.4
2021-03-09,1131.3
2021-03-10,1141.1
2021-03-11,1140.7
2021-03-12,1137.3
2021-03-15,1130.7
2021-03-16,1135.9
2021-03-17,1132.5
2021-03-18,1131.8
2021-03-19,1123.7
2021-03-22,1131.8
2021-03-23,1131.3
2021-03-24,1128.0
2021-03-25,1133.5
2021-03-26,1134.2
2021-03-29,1131.8
2021-03-30,1131.7
2021-03-31,1133.5
2021-04-01,1132.6
2021-04-02,1129.3
2021-04-05,1127.5
2021-04-06,1127.8
2021-04-07,1122.9
2021-04-08,1116.4
2021-04-09,1118.5
2021-04-12,1117.2
2021-04-13,1124.3
2021-04-14,1126.1
2021-04-15,1119.9
2021-04-16,1117.6
2021-04-19,1117.9
2021-04-20,1118.2
2021-04-21,1113.4
2021-04-22,1117.4
2021-04-23,1116.3
2021-04-26,1118.9
2021-04-27,1114.0
2021-04-28,1110.8
2021-04-29,1112.5
2021-04-30,1107.4
2021-05-03,1109.6
2021-05-04,1119.3
2021-05-06,1121.1
2021-05-07,1125.5
2021-05-10,1121.4
2021-05-11,1114.6
2021-05-12,1119.1
2021-05-13,1123.5
2021-05-14,1130.6
2021-05-17,1129.5
2021-05-18,1133.0
2021-05-20,1133.1
2021-05-21,1132.2
2021-05-24,1126.9
2021-05-25,1127.6
2021-05-26,1122.8
2021-05-27,1118.6
2021-05-28,1118.0
2021-05-31,1116.0
2021-06-01,1113.5
2021-06-02,1107.0
2021-06-03,1110.3
