date,value,ts_utc,entity,unit,source,dataset_id,metric_name,is_derived,derived_from,fingerprint
,2.8,2024-11-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,02c2b7903cc3a078
,3.1,2024-12-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,8f20087c316b6b2f
,2.8,2025-01-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,6e7632a7efa41348
,2.8,2025-02-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,cfc69ce00fd8bed6
,2.8,2025-03-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,c5155f311db8f8dd
,2.7,2025-04-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,23193401d1179475
,2.7,2025-05-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,2117b7e94ba646e5
,2.7,2025-06-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,21702961ff1e80c0
,2.7,2025-07-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,b9f2394dde5d9bf5
,2.8,2025-08-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,58018d69642f45d8
,2.7,2025-09-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,3809ed6f88b30050
,2.7,2025-10-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,0724878afce70296
,2.8,2025-11-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,3287559dc5d106cd
,3.3,2025-12-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,ecee2f5aa7e3490b
,3.0,2026-01-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,4940e82a7dad0a3b
,2.9,2026-02-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,ed3aa402aaaa488f
,2.7,2026-03-01T00:00:00Z,KOR_UNRATE,PCT,ecos,ecos_kor_unrate,unemployment_rate,False,,fc9a862d2c91cf08
