date,value,ts_utc,entity,unit,source,dataset_id,metric_name,is_derived,derived_from,fingerprint
,114.4,2024-11-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,4a4ef1a32ba7d973
,114.91,2024-12-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,210cfa0ae7a67197
,115.71,2025-01-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,7c1ea5858780a522
,116.08,2025-02-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,1cf691c8def1b848
,116.29,2025-03-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,e2c70c0a0263c957
,116.38,2025-04-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,de51dd8596f71c63
,116.27,2025-05-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,f8c271a12ff2b4a3
,116.31,2025-06-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,a986222665992662
,116.52,2025-07-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,af458a56319bd799
,116.45,2025-08-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,64586f8c1cc984c2
,117.06,2025-09-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,8df866daf2d8795c
,117.42,2025-10-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,c24c27daf719b270
,117.2,2025-11-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,f2bdd5590a2314e2
,117.57,2025-12-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,d3db90a3ee872853
,118.03,2026-01-01T00:00:00Z,KOR_CPI,INDEX,ecos,ecos_kor_cpi,cpi_index,False,,0ced9bf1a84bba11
